""
name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude
Silverado Vineyards,"6121 Silverado Trl Napa, CA 94558",rMh9PfBpPqN8pEusPYhOvQ,wineries,Wineries,4.0,311,$$,38.412273,-122.336858
Signorello Estate,"4500 Silverado Trl Napa, CA 94558",j-e9rmg77oZxjOFE3BWZfw,wineries,Wineries,4.5,142,$$,38.37017,-122.29481
Housley Napa Valley,"1038 Clinton St Napa, CA 94559",hm4wc8mq23P6ggwJ_qhoVw,winetastingroom,Wine Tasting Room,5.0,184,$$,38.301058,-122.2879028
McKahn Family Cellars,"1031 McKinstry St Napa, CA 94559",WL1iWaefUY9mw0rfPPUNBQ,winetastingroom,Wine Tasting Room,5.0,36,$$,38.3013054,-122.2824685
O'Brien Estate,"1200 Orchard Ave Napa, CA 94558",Q9nnwLPUI66JovirXricwA,wineries,Wineries,4.5,187,$$,38.3458853537695,-122.33976825643451
Laird Family Estate,"5055 Solano Ave Napa, CA 94558",CBgrreBS92t96o8JUg7Flw,wineries,Wineries,4.5,163,$$,38.3539772033691,-122.335693359375
Kenzo Estate,"3200 Monticello Rd Napa, CA 94558",wC3Ln2md73EHCiSAj32ugg,wineries,Wineries,4.5,68,$$$,38.354502,-122.204136
Silenus Winery,"5225 Solano Ave Napa, CA 94558",fD7VrIMnNQJy5iewJ5_Mng,wineries,Wineries,4.5,121,$$,38.363672,-122.339213
Napa Sonoma Wine Tasting Driver ®,"902 Enterprise Way Ste K Napa, CA 94558",PpOjhPCGMObVfnh3-3wAcQ,winetours,Wine Tours,5.0,130,,38.2587139,-122.2717063
Rebel Vintners,"1201 First St Napa, CA 94559",z_eK9FBf2Hpgvy2eTr8vOQ,winetastingroom,Wine Tasting Room,4.5,68,$$,38.29829,-122.28695
Stonehedge Winery,"1004 Clinton St Napa, CA 94559",obZCSR6g1Tp0ok207pCULA,wine_bars,Wine Bars,4.5,138,$$,38.301341,-122.287519
Etude Wines,"1250 Cuttings Wharf Rd Napa, CA 94559",H_0SOBdmEzzkk9398319TA,wineries,Wineries,4.0,176,$$,38.245847,-122.3150228
Eleven Eleven Winery,"620 Trancas St Napa, CA 94558",j8TEOilvSUqT2okhmzO9hA,wineries,Wineries,5.0,36,$$$,38.3249893,-122.286911
JaM Cellars,"1460 First St Napa, CA 94559",z31nB1cGHiwJ3MoS9qwEMQ,wineries,Wineries,4.5,162,$$,38.297435,-122.2893433
name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude
Reynolds Family Winery,"3266 Silverado Trl Napa, CA 94558",vz4XmKow74fr2UpIiAd9VQ,wineries,Wineries,4.0,127,$$,38.3552406,-122.2869398
Goosecross Cellars,"1119 State Ln Yountville, CA 94599",tlP1ir-OEzsAYNWJYYNMNg,wineries,Wineries,4.5,387,$$,38.4266242980957,-122.352890014648
The Hess Collection Winery,"4411 Redwood Rd Napa, CA 94558",oMOYzH6r2oPeplABN1ayDg,museums,Museums,4.0,395,$$,38.3382138618663,-122.390175069827
Caldwell Vineyard,"270 Kreuzer Ln Napa, CA 94559",ldstE5CK2164kL9torc3Gg,wineries,Wineries,5.0,49,$$$,38.2869459,-122.2358185
Trahan Winery,"974 Franklin St Napa, CA 94559",SxT6FVxubgyVr5PApCpiWg,wineries,Wineries,4.5,99,$$,38.29745,-122.28838
Encanto Vineyards,"1021 McKinstry St Napa Napa, CA 94559",v59bL2jsKfviHRKfgmebog,wineries,Wineries,5.0,2,,38.30111,-122.282289
Fontanella Family Winery,"1721 Partrick Rd Napa, CA 94558",ejcIUI5SCZbSTI510uczUw,wineries,Wineries,5.0,52,$$,38.312613,-122.373269
Elyse Winery,"2100 Hoffman Ln Napa, CA 94558",-yr50TXHYTwb0iNGzinWfg,wineries,Wineries,4.5,117,$$,38.38361,-122.35451
Robert Mondavi Winery,"7801 Saint Helena Hwy Oakville, CA 94562",YEu8EFkgZdW6NXpAAvdVoA,wineries,Wineries,4.0,1097,$$,38.441422,-122.409546
Pine Ridge Vineyards,"5901 Silverado Trl Napa, CA 94558",7XaePrZPo7w2HmuJWUtKwA,wineries,Wineries,4.5,307,$$$,38.4047399,-122.33277
Regusci Winery,"5584 Silverado Trl Napa, CA 94558",QKHkNxzI46t6CApT5cj4Mg,winetastingroom,Wine Tasting Room,4.0,264,$$$,38.39784,-122.31354
WineINN & DineINN,"449 Seminary St Napa, CA 94559",Ry8rKQtz98SNW7CXsRweww,winetours,Wine Tours,5.0,5,,38.29204,-122.29214
Chandon,"1 California Dr Yountville, CA 94599",6xAxed-Mkvu0Xq5lWzt9Lw,wineries,Wineries,3.5,1449,$$,38.3963745949975,-122.364698011115
Odette Estate,"5998 Silverado Trl Napa, CA 94558",Gh67mm_aNPi2UHd3su1jgA,wineries,Wineries,4.0,78,$$,38.40556,-122.32773
Mi Sueno Winery,"910 Enterprise Way Ste M Napa, CA 94558",HR7frtjVDOEdtZSSKxMhQg,wineries,Wineries,5.0,34,$$,38.2598016,-122.2720075
Hyde Estate Winery,"1044 Los Carneros Ave Napa, CA 94559",Bg5s--7xCdhGQnyuI1WJtQ,wineries,Wineries,5.0,4,,38.253863,-122.330619
Robert Sinskey Vineyards,"6320 Silverado Trl Napa, CA 94558",5PZhHJ-GPGO40Uamd7MZGw,wineries,Wineries,4.0,338,$$$,38.425414,-122.337002
Scribe Winery,"2100 Denmark St Sonoma, CA 95476",xEIQAkMIM9dBQ9TBWAxj6Q,wineries,Wineries,4.0,322,$$,38.2712839,-122.4230626
AvinoDos Wines,"901 Enterprise Way Ste B Napa, CA 94558",RdQxvcdPgMkl__Q7h-7zUw,wineries,Wineries,5.0,24,$$,38.25867,-122.2736
Yao Family Wines,"Napa, CA 94559",Pp7Su_2q7VKH0KsqrQe21w,wineries,Wineries,4.5,81,$$,38.2678756713867,-122.24878692627
Ceja Vineyards,"1016 Las Amigas Rd Napa, CA 94559",kASFvkVETmxwrl3Li-bOPA,wineries,Wineries,4.5,79,$$,38.23562255391007,-122.31443098305694
Baldacci Family Vineyards,"6236 Silverado Trl Napa, CA 94558",cw0CiHgKriffvqOcQFiFeg,wineries,Wineries,4.5,112,$$,38.418323571036034,-122.337243
Cakebread Cellars,"8300 St Helena Hwy Rutherford, CA 94573",NY-SXE9i072Qq7h_VZDawg,wineries,Wineries,4.0,788,$$,38.447904,-122.409682
Napa Valley Wine Train,"1275 McKinstry St Napa, CA 94559",4yKNDUi5AZXVCqXyo3PRxA,newamerican,American (New),4.0,1356,$$$$,38.302398,-122.283715
McKenzie-Mueller Vineyards and Winery,"2530 Las Amigas Rd Napa, CA 94559",Ynj5_o-bVnaiRKwa6oS-uA,wineries,Wineries,5.0,56,$$,38.23234,-122.33191
Napa Valley Trail Rides,"100 Rapp Ln Napa, CA 94558",7lpgrZ7dbo4yrFYH5S1udg,horsebackriding,Horseback Riding,5.0,37,,38.308894960837,-122.248969501605
Migration Winery,"1451 Stanly Ln Napa, CA 94559",fUnGZCRu0CHF08tOMmjS2g,winetastingroom,Wine Tasting Room,5.0,3,,38.244515,-122.293922
James Cole Winery,"5014 Silverado Trl Napa, CA 94558",kRu7EKnQqb0u0Yjothl7VA,wineries,Wineries,4.5,130,$$$,38.3707151322414,-122.298978236493
Tulocay Winery,"1426 Coombsville Rd Napa, CA 94558",gN1eiK2qVaUMN-kJBELsog,wineries,Wineries,5.0,14,$$,38.2979965209961,-122.258697509766
RD Winery,"3 Executive Way Napa, CA 94558",R6ov0dgQC_n7kir3XISeow,winetastingroom,Wine Tasting Room,4.5,16,,38.22490014034714,-122.2573353432758
Razi Winery,"3108 Silvarado Trl Napa, CA 94558",LFnfdKMSQgA5KL17WjnwDw,wineries,Wineries,5.0,36,$$,38.349254,-122.283146
Perata Luxury Tours,"1735 Action Ave Ste A Napa, CA 94559",uHp-GVncAf7JGQ0VA7JWSA,limos,Limos,5.0,120,,38.305805,-122.287083
Cline Cellars,"24737 Arnold Dr Sonoma, CA 95476",H_eOT-VkO-Ip36wpawvm9g,winetastingroom,Wine Tasting Room,4.5,970,$$,38.2140168170748,-122.457671481384
WeWine Napa,"1625 Trancas St Unit 2244 Napa, CA 94558",7Th8WBELZe-QzSBoy_dulg,winetours,Wine Tours,5.0,10,,38.3215163,-122.3041079
Vintner's Collective,"1245 Main St Napa, CA 94559",InjapatoSUNJQw-s1mSckQ,winetastingroom,Wine Tasting Room,4.5,145,$$,38.30109,-122.28725
Shafer Vineyards,"6154 Silverado Trl Napa, CA 94558",6NfZ7oanPwGauSxZXDz4jw,wineries,Wineries,4.5,45,$$$,38.419881,-122.326894
Napa Cellars Tasting Room,"7481 St Helena Hwy Napa, CA 94558",ZHQLF1Huq-m24ZK6FTnXRA,wineries,Wineries,4.5,376,$$,38.421192,-122.390177
Hudson Ranch,"5398 Carneros Hwy Napa, CA 94559",nEdwg3yvgmnfZ6-DQwDdNg,wineries,Wineries,5.0,4,,38.264949,-122.365935
Progeny Winery,"1032 Mt Veeder Rd Napa, CA 94558",Xmyr4iAvY9ZOS0LjIZYQ_A,winetastingroom,Wine Tasting Room,5.0,1,,38.33571,-122.37051
John Anthony Vineyards,"1440 1st St Tasting Lounge Napa, CA 94559",C0R5urCJk-JSsEP_bIJtnQ,wineries,Wineries,4.5,140,$$,38.2975791,-122.2891414
PF Wine Tours,"Napa, CA 94558",MpjwUeWPJWnmdjMRK4gJGA,winetours,Wine Tours,5.0,55,,38.31865,-122.29994
"Materra, Cunat Family Vineyards","4326 Big Ranch Rd Napa, CA 94558",G_AQMzXvnQsKWbBYJl-4zA,wineries,Wineries,5.0,43,$$,38.3612027,-122.3118133
Robert Biale Vineyards,"4038 Big Ranch Rd Napa, CA 94558",R4uYU5LzpW4dxQKNbcK0ng,winetours,Wine Tours,4.5,125,$$,38.3560694828793,-122.308430671692
The Wine Foundry,"45 Enterprise Ct Napa, CA 94558",FMUG_BW33P7xXJt_Pdn2_A,wineries,Wineries,5.0,10,$,38.2603302,-122.2742081
Napa Luxury Coach,"Napa, CA 94558",hKytrS18mZBzloT91xWxpA,limos,Limos,4.5,8,,38.31865,-122.29994
Mayacamas Vineyards & Winery,"1155 Lokoya Rd Napa, CA 94558",Fh7tfClmn1Bszw838joEPw,wineries,Wineries,4.5,11,$$$$,38.36518,-122.42326
Aonair Wine,"Napa, CA 94558",QGMN5PGHv8A10AO9LL_m2w,wineries,Wineries,5.0,63,$$$,38.3177642822266,-122.29174041748
GEN 7 Wines,"850 Bordeaux Way Ste 10 Napa, CA 94558",QRjfPQ9ZU5Vqw_B430D_EA,winetastingroom,Wine Tasting Room,4.5,42,$$,38.247256,-122.273861
Quilt & Co.,"807 Main St Napa, CA 94559",rda6K-_jHi5VZq72jA8aYg,winetastingroom,Wine Tasting Room,5.0,9,,38.297886,-122.284698
Jacuzzi Family Vineyards,"24724 Arnold Dr Sonoma, CA 95476",u-Ta5s0ZAxyegzCHtWPGzQ,wineries,Wineries,4.0,821,$$,38.21471,-122.453885
name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude
Quixote Winery,"6126 Silverado Trl Napa, CA 94558",PuOf3pWWbENW-RC3sQ-vfw,wineries,Wineries,4.0,61,$$,38.4181009125607,-122.323620009856
Carneros Della Notte,"1003 Dealy Ln Napa, CA 94559",-jZOFauYP5dPtP7UehPjZw,wineries,Wineries,4.5,16,$$,38.2575999,-122.339651
Viansa Winery & Marketplace,"25200 Arnold Dr Sonoma, CA 95476",P2CudRXjCSgmxpC4TCiJwA,wineries,Wineries,4.0,624,$$,38.20847,-122.451805
Apex Limousine Transportation and Wine Tours,"952 School St Ste 277 Napa, CA 94559",jAQMkCq4t-PX8ZtuB17zQQ,limos,Limos,4.5,162,,38.2968914,-122.2889887
Tres Sabores Winery,"1620 S Whitehall Ln Saint Helena, CA 94574",2q5C8DmLFUC-_vLA04kvCg,wineries,Wineries,5.0,126,$$,38.461548,-122.444536
Laces and Limos,"2480 Oak St Ste A Napa, CA 94559",8GM7yZiaTNlLL0uZ_cR_Jg,winetours,Wine Tours,5.0,8,,38.295639,-122.2999753
Wine Country Drivers,"Napa, CA 94581",jbNbimv4HawSNpTMupGg7A,winetours,Wine Tours,5.0,23,,38.29695,-122.2868
Celani Family Vineyards,"2230 Big Ranch Rd Napa, CA 94558",l2F5bF9XDKAhD_Fc_HKO6A,wineries,Wineries,4.5,2,$$$,38.334573,-122.293094
Far Niente Winery,"1350 Acacia Dr Oakville, CA 94562",uHwIZd9lmT56tMP_nd6F_w,wineries,Wineries,4.5,162,$$$,38.424479,-122.404132
Luna Vineyards,"2921 Silverado Trl Napa, CA 94558",6ggJeMWJyoproJMlmzlZBQ,wineries,Wineries,3.5,230,$$,38.34508,-122.28384
Cornerstone Cellars,"850 Bordeaux Way Ste 6 Napa, CA 94558",iouQNhgizPClznxlgrhaaw,wineries,Wineries,4.5,7,,38.2474144,-122.2720766
Opus One Winery,"7900 St Helena Hwy Oakville, CA 94562",XPh3ZBqxA3tldU_-_6KHFg,wineries,Wineries,3.5,465,$$$$,38.4414391100535,-122.399720296699
Ashes & Diamonds,"4130 Howard Ln Napa, CA 94558",O85r1hSdjOgWDk24dKbJjA,winetastingroom,Wine Tasting Room,4.5,2,,38.344726,-122.3259722
Beau Wine Tours & Limousine Service,"1754 2nd St Ste B Napa, CA 94559",m9AghieXt2oaQAEIkKTyXQ,winetours,Wine Tours,4.5,349,,38.296694,-122.2924582
Napa Private Tours,"1052 Shetler Ave Napa, CA 94559",ncAjM4gkobRt4MCFioBBSw,winetours,Wine Tours,5.0,60,,38.28276,-122.27123
Mayacamas - Napa,"1256 First St Napa, CA 94559",Z8o_IjVNijidaRShDfI7xQ,winetastingroom,Wine Tasting Room,5.0,8,,38.2983847,-122.2874726
Madorom Vineyards,"2340 Silverado Trl Napa, CA 94558",C9-C9pwHnsb5gGxE1-la9Q,wineries,Wineries,5.0,3,$$,38.340156,-122.281946
Napa Valley Distillery,"610 1st St Ste 8 Napa, CA 94559",GrERzNcNtLB6S7sPJVc8Kw,distilleries,Distilleries,4.5,279,$$,38.301602,-122.2815194
Cosentino Winery,"7415 St Helena Hwy Yountville, CA 94599",LG1wrGP6JZ7RHSzP8S4Apw,winetastingroom,Wine Tasting Room,4.5,353,$$,38.40887,-122.37512
Silver Oak - Oakville,"915 Oakville Cross Rd Oakville, CA 94562",Zumm3-xGQ3Nud-R1YvydCA,wineries,Wineries,4.0,489,$$$,38.4404422,-122.3809788
Inglenook,"1991 St Helena Hwy Rutherford, CA 94573",9hPBXzNpGYvxaI0lDJrJ6w,wineries,Wineries,4.0,367,$$$,38.458392,-122.423796
The Caves at Soda Canyon,"2275 Soda Canyon Rd Napa, CA 94558",Q9POpvNouEmBWx6vT8w9Yw,wineries,Wineries,4.5,10,$$$,38.401433,-122.30133
Madonna Estate,"5400 Old Sonoma Rd Napa, CA 94559",YxBLqDuO4FSIm5QExHWPBg,wineries,Wineries,3.5,173,$$,38.2556419372559,-122.341018676758
Whetstone Wine Cellars,"1075 Atlas Peak Rd Napa, CA 94558",ZdP7vvVoMe2d68FndNlmgQ,wineries,Wineries,4.5,87,$$,38.3393115,-122.2623851
Grgich Hills Estate,"1829 St Helena Hwy Rutherford, CA 94573",6zcB6zokx3LdfaHPIc8s_Q,wineries,Wineries,4.0,589,$$,38.465419,-122.428989
PlumpJack Winery,"620 Oakville Cross Rd Oakville, CA 94562",pWIKdVb0VOoPHxBP0SAb9w,wineries,Wineries,3.5,179,$$,38.455434,-122.374111
Lewis Cellars,"4101 Big Ranch Rd Napa, CA 94558",emW_LuDDwbiX3iz3rfwmwA,wineries,Wineries,4.5,13,$$$$,38.351246,-122.307404
WALT Wines Napa Oxbow,"605 1st St Napa, CA 94559",j2fiOk-24csa0IEi8sWu2A,winetastingroom,Wine Tasting Room,4.5,18,$$$,38.3011,-122.28107
Sequoia Grove Winery,"8338 St Helena Hwy Rutherford, CA 94573",AkCtU_OKi6-byTjGLGSwAw,winetastingroom,Wine Tasting Room,4.5,314,$$,38.4486206620932,-122.413306385279
Larson Family Winery,"23355 Millerick Rd Sonoma, CA 95476",Mq_fixpIw3lu__ykB3hMnQ,wineries,Wineries,4.5,566,$$,38.2361999,-122.4483
Rocca Family Vineyards Tasting Room,"129 Devlin Rd Napa, CA 94558",4vw1Yemztf-PQH6YEpWmpQ,wineries,Wineries,4.5,12,$$,38.23821,-122.26942
All Day Wine Tours,"Napa, CA 94558",OT5sd_SArXGo8Si-xdtKQQ,winetours,Wine Tours,5.0,24,,38.32923889160156,-122.2959213256836
Prime Cellars,"974 Franklin St Napa, CA 94559",y-eh93-FKhMvlU8Cj6MHuQ,wineries,Wineries,5.0,31,$$,38.2973361393272,-122.288313821426
Feast it Forward,"1031 McKinstry St Napa, CA 94559",u2llBTWddimNEZccrNCJJw,winetastingroom,Wine Tasting Room,4.5,22,$$,38.3013,-122.28245
Turnbull Wine Cellars,"8210 St Helena Hwy Oakville, CA 94562",yhUtRV7p98JS5AqAoz0EqA,winetastingroom,Wine Tasting Room,4.0,261,$$,38.4446747,-122.4084054
Beaulieu Vineyard,"1960 Saint Helena Hwy Rutherford, CA 94573",Av_UWwtKRBLJkL9T5GYPOA,wineries,Wineries,4.0,412,$$,38.46016,-122.423291
Hamel Family Wines,"15401 Sonoma Hwy Sonoma, CA 95476",FiJVwo9-E74VLpi5XpKX5g,wineries,Wineries,4.5,97,$$$,38.3458142305308,-122.494017806885
T3 - Tesla Tours & Transportation,"952 School St Ste 252 Napa, CA 94559",XeS29YWAoCOwe6jP-kqTaA,winetours,Wine Tours,4.5,24,,38.2968914,-122.2889887
Sciandri Family Vineyards,"50 Kreuse Canyone Dr Napa Valley, CA 94559",E3n9oNbpHCSKg652QMwDCg,wineries,Wineries,5.0,7,$$$,38.281436,-122.23796
Gundlach Bundschu Winery,"2000 Denmark St Sonoma, CA 95476",Tl7D5crViVQnXFA1eL2sAQ,wineries,Wineries,4.0,567,$$,38.27853,-122.42058
Napa Valley Wine Trolley,"1754 2nd St Ste B1 Napa, CA 94559",OCq_kYHmhBhXx_cMb0BV5w,winetours,Wine Tours,4.0,143,,38.2967254900593,-122.289325989441
Robert Craig Winery Tasting Salon,"625 Imperial Way Napa, CA 94559",cFR5QwgKm2GyEMRsmw_eQg,wineries,Wineries,4.5,54,$$,38.30657,-122.28252
Outland,"920 Franklin St Napa, CA 94559",0NNT2EHw2VCKOWtNNnXAXQ,winetastingroom,Wine Tasting Room,5.0,17,$$,38.29733,-122.28809
B Cellars Vineyards & Winery,"703 Oakville Cross Rd Oakville, CA 94558",L9vSIsnpAskQGRhUz_vdqg,wineries,Wineries,5.0,157,$$,38.449864,-122.373264
St. Supery Estate Vineyards & Winery,"8440 St Helena Hwy Rutherford, CA 94573",Z0fYtkNluub2edL0-dhlxg,wineries,Wineries,4.0,461,$$,38.4551318502323,-122.414560554116
Nickel & Nickel,"8164 St Helena Hwy Oakville, CA 94558",iYWNb8o9AuKEKpuiAiKQvw,wineries,Wineries,4.5,130,$$$,38.443243,-122.406763
Napa Valley Distillery,"2485 Stockton St Napa, CA 94559",7SHk6Ur2TlN9a8B8TK328Q,distilleries,Distilleries,5.0,261,$$,38.29417,-122.3016619
Vermeil Wines,"1018 1st St Napa, CA 94559",PmIQedYODF4s6AjZk3qD5w,winetastingroom,Wine Tasting Room,4.0,71,$$,38.29915,-122.28586
Covert Estate,"15 Chateau Ln Napa, CA 94558",eIQWrVyb1l2iqNcmXXen0Q,wineries,Wineries,5.0,4,,38.307445,-122.247464
Napa Bee Driven,"Napa, CA 94558",_sGfjVSoD2CsuS2e2ddgDg,winetours,Wine Tours,5.0,55,,38.291168,-122.286279
name,location,Business ID,alias,title,rating,review_count,price,latitude,longitude
Antica Napa Valley,"3700 Soda Canyon Rd Napa, CA 94558",8n4fUXqLg-Y5Rj3LnAoW6Q,wineries,Wineries,5.0,8,$$$,38.427937,-122.274933
Saddleback Cellars,"7802 Money Rd Oakville, CA 94562",hzmFrBWjUVNHHuiPLmN0tQ,winetastingroom,Wine Tasting Room,4.5,82,$$,38.449385,-122.3885091
Wine Country Safari,"1876 Brown St Napa, CA 94559",XJlD7EBaB7BW9q7GONvh0g,winetours,Wine Tours,5.0,9,,38.305503,-122.2915887
Holman Cellars,"918 Enterprise Way Ste G Napa, CA 94558",XWi1gDixb2qSBkKJm63T0Q,wineries,Wineries,5.0,38,$$,38.259432,-122.274448
Anaba Wines,"62 Bonneau Rd Sonoma, CA 95476",AHnrq8T7kGHzbmHB6uS3wQ,winetastingroom,Wine Tasting Room,4.5,251,$$,38.236353,-122.463806
Amuse Bouche Winery,"1130 Main St Napa, CA 94559",dPFz1ert17m4U7pHwsN4wg,wineries,Wineries,4.5,3,$$$,38.30039,-122.286039
Italics Winegrowers,"40 Rapp Ln Napa, CA 94558",XfqpcUew8dHgPjdikRWm-Q,wineries,Wineries,5.0,14,$$$,38.3137,-122.250615
Preferred Limousine,"4225 Solano Ave Ste 630 Napa, CA 94558",WSygUJ3w9Vat3ykqqRuh4A,limos,Limos,4.5,46,,38.33653,-122.32299
Napa Valley Limousine Services,"1850 West Imola Ave Napa, CA 94558",iZGaX5_bGPS3lFQW-bABwg,limos,Limos,4.5,17,,38.2822671,-122.2953618
Maritas Vineyard,"2055 N Ave Napa, CA 94558",S9KcAPfjNofMhmQ3MfU2XQ,wineries,Wineries,5.0,9,$$$,38.302154,-122.249869
Azur at The Green Room,"190 Camino Oruga Ste 9 Napa, CA 94558",o5QsTPWngzPKvtHO3fRqkQ,winetastingroom,Wine Tasting Room,5.0,2,,38.22766,-122.25422
