Reviewer Name,Review Rating,Review Text,Time Created,id
Justine F.,5,We visited this gorgeous winery in December just before the Covid closure. The wine is very good with excellent customer service & beautiful countryside,2021-02-11 16:31:50,gFPq8yqFRd9caMgkO5HvpQ
Susan M.,5,"Wow, have I learned a lot about this valley in our week here.  I didn't think there could be quality wine tasting in San Diego.  I am thrilled to report...",2020-07-25 20:05:13,gFPq8yqFRd9caMgkO5HvpQ
Beverly D.,5,We are members of GJ.  Today we picked up are membership wine AND with it came a box lunch from Marinade on Main.  The wine is terrific; the people were...,2020-04-11 14:31:47,gFPq8yqFRd9caMgkO5HvpQ
Maryann R.,5,"I am so excited to find this beautiful winery so close to home. Located just about 35 minutes from downtown La Jolla, the combination of the evening sky and...",2020-10-29 21:04:56,97NwIhRGPhv1c4DU9DMpPA
Perry N.,5,"What a special place only 30 minutes from downtown... the setting is rustic, yet charming. There are many fun details all over the grounds...The owners...",2020-11-11 11:24:03,97NwIhRGPhv1c4DU9DMpPA
Tom L.,5,"We are so excited to have such a great winery much closer than Temecula. 

We visited recently and discovered that the wine is amazing, the syrah was my...",2020-11-02 19:13:38,97NwIhRGPhv1c4DU9DMpPA
Meri D.,5,Love this winery located in Escondido! This is in the San Pasqual Valley area accessible through Escondido or Rancho Bernardo exits. With Covid the winery...,2020-12-20 22:01:13,wLEvfL3dKvMMPD17-lpcGw
Tanu C.,5,Super cute winery! Staff wore masks and we were able to spread out from the other guests. The wine was great too. Will definitely be back,2020-10-18 16:50:05,wLEvfL3dKvMMPD17-lpcGw
Veronica M.,5,Roberto and Noelle are the best! We enjoyed our visit and I LOVE the Tempranillo. This visit became one of the highlights of the day. I loved the warm...,2021-05-09 23:25:36,wLEvfL3dKvMMPD17-lpcGw
Nicole C.,5,Talk about personal service! We had a great time enjoying a wine flight and lounging outside. Quite a few modifications for COVID-19 so I felt very safe....,2021-03-13 20:30:56,9YDsJ5OL1hkx_vqwlJhi_Q
Saleen D.,4,"Awesome winery in Miralani Maker's District in Miramar!

Very safe during this time.  There are a couple of chairs inside that were spaced apart...",2020-07-07 01:27:59,9YDsJ5OL1hkx_vqwlJhi_Q
Gus L.,5,"Charlie & Echo takes many of things I like about craft breweries and morphs them into a great urban winery. Yes, they are also nestled into the Mirilani...",2019-11-25 14:05:04,9YDsJ5OL1hkx_vqwlJhi_Q
Natalie P.,5,"A smooth experience overall. Called the night before to make a reservation for 6 and had the option for indoor or outdoor seating. We chose outdoors. 

On...",2020-09-27 17:43:12,VksLDK5jI-O53y0fFoUlQQ
Time To Relax L.,5,"What a wonderful way to end my scavenger hunt! :) 
My parking was on the last bit of time, and I popped in to Rose's Tasting Room to make a purchase, so...",2021-03-28 20:21:38,VksLDK5jI-O53y0fFoUlQQ
Christine A.,5,My bf and I were touring around San Diego and this place attracted me because of their mixers that they sell and saw that they used it in their mimosas. The...,2020-11-15 22:45:39,VksLDK5jI-O53y0fFoUlQQ
Dan M.,4,Maybe its SoCal or because Im from NC  but I was stunned By the extremely well curated selection of CA wines. The Old World section was much much smaller...,2018-01-27 01:29:19,0gGOIJo3MUVpuy8hAepCGQ
Tara K.,5,"Place awesome if not busy they will deliver to your, home hotel or place of employment. Recommended a wine that I never tried and I loved it! Great people...",2017-09-03 19:46:03,0gGOIJo3MUVpuy8hAepCGQ
Kathryn B.,5,Really like their wines. My boyfriend is a member and we go a lot. Currently (covid) we sit outside and they give three regular glasses per tasting.  Pre...,2021-05-02 20:22:54,ia3GRsrEDexiodnpXe0D6w
Channing C.,3,"A nice cute and quaint wine tasting room located in old town La Mesa. My mom and I got a flight and unfortunately, for me, I did not like any of my wine....",2020-12-16 14:23:40,ia3GRsrEDexiodnpXe0D6w
Jack M.,5,"Great wine testing location and great people. This one of two of their location tasting location smack in the middle of La Mesa.

They offer wine tasting of...",2017-12-22 09:42:14,ia3GRsrEDexiodnpXe0D6w
Virginia G.,5,"Nice people and very good wine. Rarely do we go to Southern California wineries and like all of the wine.   We did here.  

Our favorites were the Malbec...",2020-01-12 16:04:55,D9rtDihupzA39yBh0YcAXg
Justin T.,4,"The Malbec was my favorite here. This place is cool they offer complimentary freshly made sourdough with olive oil dipping sauce.
The place itself is cute...",2019-06-15 15:28:06,D9rtDihupzA39yBh0YcAXg
Stacie M.,5,Had a lovely visit to Chuparosa Vineyards on our drive back from hiking Cedar Creek Falls.  My girlfriends and I stopped here after reading the other...,2019-04-03 17:07:03,D9rtDihupzA39yBh0YcAXg
Ashley Y.,5,What a treat! Was referred to Ryan Hefferman from a friend who had used him for an Orange County Wine tour. Ryan had his limo pick us up from our hotel in...,2013-07-11 15:42:12,5fkdGagUJDuc3axRWchzJQ
Melissa R.,5,Ryan and his company did an amazing job on coordinating an 8 hour day to the Temecula Wineries with a party of 15 people. It was as easy as 1-2-3. My...,2013-06-05 17:05:18,5fkdGagUJDuc3axRWchzJQ
Susan M.,5,This was a real treat. It was great to drink Italian varietals in San Diego. Alberto makes your visit so charming that it's hard to walk away without buying...,2020-07-22 17:31:19,RdMY32yM5MRIztG9gzuDKw
Ted S.,5,"Principe di Tricase has some of the most fantastic RED ITALIAN WINE.  Delicious, smooth, complex, well blended. Using distinct Italian red grapes from...",2020-03-28 21:48:41,RdMY32yM5MRIztG9gzuDKw
Natasha B.,5,Visited this winery over the weekend and had the most AMAZING experience. We loved the food and the multitude of delicious wines we had the pleasure of...,2021-02-23 20:37:55,RdMY32yM5MRIztG9gzuDKw
Jenna D.,5,"Visited the winery today while driving through Ramona on the way home from a hike. So glad we stopped! Wonderful experience, great service, and nice view of...",2021-04-18 13:14:48,V3kR-0Nb6ISBQ8ebXZJeVQ
Trish S.,5,Five stars for Ms. Debbie who put up with us and our toddlers last Saturday. She was generous and kind to us desperate parents who REALLY required some wine...,2020-10-27 15:03:26,V3kR-0Nb6ISBQ8ebXZJeVQ
Laurie K.,5,We stopped at this amazing winery! So quaint and friendly. Gail was a gracious host and we love the grounds and of course the wine! Great outdoor and indoor...,2020-11-21 11:03:12,V3kR-0Nb6ISBQ8ebXZJeVQ
Sofia N.,5,Stumbled upon this nice tasting room today. We had a very pleasant experience. They are fairly new (set to open Feb 2020 but covid pushed that back) so they...,2021-04-11 21:16:31,3mk6Tl3irp7x8baYoLRu9w
Alexander G.,5,"I don't know where to start. Amazing staff that is super attentive, helpful, and nice at the same time. They just come off as great people and you will...",2021-04-24 22:36:48,3mk6Tl3irp7x8baYoLRu9w
Linz N.,5,"So happy to have this tasting room and wine bar in the neighborhood! Wine was delicious and reasonably priced, and the staff was fantastic. I will be a...",2021-05-09 19:36:46,3mk6Tl3irp7x8baYoLRu9w
Gail T.,5,First time here. Beautiful grounds that you can sit at a table and relax with the lovely scenery. Wines were pretty good. Lots of variety for everyone...,2018-04-10 13:36:01,Wjn9nDudZgJ5okiB8Cbfmg
Malana L.,5,Excellent winery in Southern California! You MUST try the chocolates as well. Friendly owner and great tasting wine.,2020-01-04 14:26:28,Wjn9nDudZgJ5okiB8Cbfmg
Sarah B.,5,"In response to Katherine G.
Airbnb has a resolution center to mediate issues between hosts and guests. We followed the guidelines and Airbnb ruled in our...",2019-12-31 19:25:52,Wjn9nDudZgJ5okiB8Cbfmg
Janice P.,3,Overpriced wines. They portray they are giving customers special access but it's nothing special,2018-12-14 13:05:26,U1F6GFNI_nw4WawP546qHQ
Holly B.,5,Love wines from Quigley. Especially adore Mike and his recommendations. I love that he has learn d my tastes and has introduced me to new wines. He is also...,2019-03-21 17:08:33,U1F6GFNI_nw4WawP546qHQ
Andrea K.,5,Wonderful experience! The tastings include 8 wines and all were great. Fair value and staff was knowledgable and friendly. Zero pretentious attitude about...,2016-12-09 14:25:59,U1F6GFNI_nw4WawP546qHQ
Mel S.,5,"I came to the Wine Smarties with the goal of meeting some wine professionals in my new city of San Diego, and brushing up on global wine knowledge.  What I...",2016-05-05 07:49:31,TMuXpHvWmWlW__vpyREVjA
Deborah J.,5,I have taken two WSET levels from Lindsay and have learned a lot. I highly recommend Wine Smarties!,2019-07-23 23:16:30,TMuXpHvWmWlW__vpyREVjA
Amanda O.,5,"After going wine tasting in Paso Robles I mentioned to my boyfriend that I would love to take a course on how to taste wine. I know I love wine, but I have...",2015-01-29 18:01:11,TMuXpHvWmWlW__vpyREVjA
Morgan A.,5,"This winery is truly a hidden gem in Northern San Diego County! We stayed at the Villa located above the wine tasting room. Beautiful 2 bedroom, 1 bath with...",2020-04-12 19:17:12,Ou-vDAZxoKeYkBDZzg_ZdA
R. Scott T.,5,"Cheval has horse back riding lessons, overnight stay accomadations that are top notch. Really nice staff. Super low key vibe. Hourses, goats and alpacas are...",2021-02-25 10:06:16,Ou-vDAZxoKeYkBDZzg_ZdA
Jennifer A.,5,I debated writing a review because I'd like to keep this gem to myself. It is literally an 8 minute drive from my house but seems like a world away. The...,2021-02-21 21:11:51,Ou-vDAZxoKeYkBDZzg_ZdA
Mike W.,5,"On a referral from another local winery, we stopped by this somewhat newer winery in the Ramona/Highland Valley area. It wasn't easy to find the correct...",2020-10-05 18:38:18,rtE6b7MidHry2wEa9ls3gw
John G.,5,"We had the pleasure of stopping by for the soft opening at this beautiful boutique winery.
Wines here are produced from estate grown grapes.
I would highly...",2020-03-19 11:02:36,rtE6b7MidHry2wEa9ls3gw
Benjamin P.,5,"Fine wines. Fine people. And truly a fine place!
I recommend. I particularly enjoyed the viognier!",2020-02-22 14:51:47,rtE6b7MidHry2wEa9ls3gw
B L.,5,"Awesome winery with beautiful views! I loved their Red Sangria, Slushie, Voigner, and Hot Mulled  Wine. You have to make reservations on their website. The...",2020-11-28 12:05:24,HwYHguzMcK-9yezh7DnC5Q
Hayley B.,5,Even during COVID this was still a great experience. We had an absolute great time and the wine was wonderful! They also have a great view and great staff!,2020-11-16 21:44:27,HwYHguzMcK-9yezh7DnC5Q
Crystal F.,5,"Summers in the valley of Ramona is hot with a light breeze to cool you down. At La Finquita you get to quench your thirst with an ice cold ""luscious...",2020-08-02 12:15:24,HwYHguzMcK-9yezh7DnC5Q
Matt D.,5,"Mike is a gracious host and certainly knows his wine. Add to that you have the beautiful grounds, great views, and you've got one of San Diego's best kept...",2021-04-17 23:54:51,C679sPixYuW8kXKWdzCfhA
Katelyn M.,5,Love this local winery! The owner is very knowledgeable and friendly! Their Cabernet Sauvignon is my absolute fav. This winery is dog friendly and you can...,2020-07-19 14:59:23,C679sPixYuW8kXKWdzCfhA
Brittney O.,5,A little piece of wine country in East County. The environment is so peaceful and beautiful. The wine is fantastic and the wine maker is incredibly...,2020-06-22 11:11:35,C679sPixYuW8kXKWdzCfhA
Diana G.,5,"This place was amazing in all aspects. 
Due to COVID, my best friends wedding was ""pending"" up until about a month ago. With no idea if it was happening, we...",2021-04-09 12:55:37,5GXI0ATO4eX6RQWB0GUQPg
Katherine W.,5,I highly recommend Julian winery. It's so hard to get everyone together. We had a group of 6 right when we arrived they were so welcoming. My entire group...,2020-11-28 16:30:17,5GXI0ATO4eX6RQWB0GUQPg
Emily B.,5,Delicious wine. The owner and winemaker and their staff are so friendly and knowledgeable. We've been members since they opened and they're continually...,2020-09-20 14:08:19,5GXI0ATO4eX6RQWB0GUQPg
Ashley B.,5,"I love this winery!!! There are so many beautiful wineries in the area, but this view is genuinely breathtaking. It overlooked the mountains along with...",2020-11-29 10:38:55,-juYJgCS_538F5k7rwGquQ
Catherine G.,5,"This family owned and operated vineyard makes delicious wines and their tasting room and outdoor patio are gorgeous. Mike, Jeanine, and Ed are delightful...",2021-01-18 12:06:12,-juYJgCS_538F5k7rwGquQ
Amy K.,5,"Covid pick up hours Fri - Sun 12-5p

This is one of the best wineries in San Diego. I bought the Dry Rose, Estate Melange Blanc (a wonderful vionier pinot...",2020-04-30 23:29:39,-juYJgCS_538F5k7rwGquQ
Alyssa N.,5,Probably my favorite winery right now. The atmosphere is perfect - so friendly and inviting. There is live music and they offer complimentary hay rides...,2020-02-15 12:02:47,ctW-k4Ci81kdjE8xOA41sg
Linda R.,4,Such a cute place. I love how intimate it is compared to all the other wineries. Flight of 5/1oz glasses is only $15. Glasses are around $8. You get a...,2019-11-17 21:57:22,ctW-k4Ci81kdjE8xOA41sg
Frederick H.,4,"Went to a friend's birthday here; the venue was beautiful, and we enjoyed the wine and the hay wagon ride, and the musician and games on the lawn.  Friend...",2020-02-21 08:18:52,ctW-k4Ci81kdjE8xOA41sg
Nicole B.,5,"By far the ""class"" of the day of otherwise uneven wine tastings.   Northern San Diego county has a variety of wineries with lovely settings, lots of...",2021-03-15 09:14:26,ZI9j1CrN_Vw3BEztOMNBRQ
Jordan P.,5,"Unexpected stop on our way through to some other wineries, and this was our favorite of the day. The owner was so welcoming and the wine delicious....",2020-07-20 16:22:51,ZI9j1CrN_Vw3BEztOMNBRQ
Cat V.,5,Such a great stop!!!  You must try their wines! Generous pours and fun conversations. The wines are excellent!,2019-08-04 14:07:54,ZI9j1CrN_Vw3BEztOMNBRQ
Hannah K.,5,"We enjoyed our time here :-) 
We each did a wine tasting (about $15 per) and then each ordered a glass of our favorites (about $10-15). There was a nice...",2020-11-22 12:12:00,swPy0eGVoD3GlScWORKJEg
Mike W.,5,Yesterday was our second time visiting Barrel 1 and the experience was just as wonderful as the first time. Audrey (Owner) and her husband were pouring...,2020-07-06 14:49:15,swPy0eGVoD3GlScWORKJEg
Sergio P.,5,Was in town for the weekend & found this place on google. Barrel 1 did not disappoint!! We went on a Sunday & luckily it was not crowded. They have a small...,2020-07-27 15:54:27,swPy0eGVoD3GlScWORKJEg
David T.,5,"Came back to Ramona and visited Kim at the tasting room.  She remembered us from our prior visit and Facebook following.  Loved all their wines, especially...",2017-01-29 20:27:18,cfMlwfp2ZIWc3Mpzg5o8CQ
Sue M.,1,We bought a Groupon for wine tasting and wanted to go out to Ramona to check out Mahogany because of the good yelp reviews. The last week the Groupon was...,2015-02-22 17:51:16,cfMlwfp2ZIWc3Mpzg5o8CQ
Matthew E.,5,"A hidden gem of a winery right next to Dos Picos County Park!

We have been exploring the Ramona Valley wine trails so we decided to book a camping trip in...",2013-09-19 20:32:33,cfMlwfp2ZIWc3Mpzg5o8CQ
Jennifer K.,5,We made a lunchtime reservation but didn't need one bc we were the only ones there! (Maybe it was the 100+ degree heat?) Our server was very sweet and...,2020-08-22 18:39:39,IjuPgZ-M8Oy1M6ClIJNFBw
Gabi R.,5,"Just had a lovely time at Crystal Hill. Great service, flavorful wine and beautiful views. Waitress was friendly and attentive and the wine sampling deal...",2020-08-08 13:27:32,IjuPgZ-M8Oy1M6ClIJNFBw
Ramon A.,5,"Fantastic wine, highly recommend!  A must stop you won't regret ... nice, quaint and ready to serve you!",2020-07-26 14:28:44,IjuPgZ-M8Oy1M6ClIJNFBw
