""
name,location,business id,alias,title,rating,review_count,price,latitude,longitude
North County Wine Company,"1099 W San Marcos Blvd San Marcos, CA 92078",j8_E3l6EacpAG-A_HvQ3Lg,wine_bars,Wine Bars,4.5,112,$$,33.133623,-117.190933
San Diego Wine & Culinary Event Center,"200 Harbor Dr Ste 120 San Diego, CA 92101",0m0bZscL906w3cOZmZpeXw,venues,Venues & Event Spaces,3.5,56,,32.708917,-117.162494
Base Liquor ,"3201 National Ave San Diego, CA 92113",qrO5-TPqXUaNHKjhaKejGA,beer_and_wine,"Beer, Wine & Spirits",5.0,3,$$,32.6958168233404,-117.125198566201
Gold Coast Town Car Services,"San Diego, CA 92168",nWz99DAS6CNkBr5IEKm0Bw,limos,Limos,5.0,97,,32.7685508728027,-117.148399353027
A Big Van San Diego Shuttle,"San Diego, CA 92103",rFwFt-nxhKdTnwdL1VOA3A,airport_shuttles,Airport Shuttles,4.5,54,,32.7473487854004,-117.166870117188
Born & Raised,"1909 India St San Diego, CA 92101",4imUXuNwJCDQS5xFdlFVrQ,steak,Steakhouses,4.0,1520,$$$$,32.7246252324982,-117.168528623879
Del Mission Liquor,"135 Washington St San Diego, CA 92103",TR5ZtmHtRDM9HLFhl6UM_g,beer_and_wine,"Beer, Wine & Spirits",3.0,17,$$,32.74963,-117.16309
Baja Rides and Tours,"22000 Tijuana, Baja California Mexico",NF9T2Sm2nNqDof_9i5Vq-w,winetours,Wine Tours,5.0,2,,32.53508,-117.04097
BevMo,"5644 Mission Center Rd Store  155 San Diego, CA 92108",v5xXA7RmmLU45xsrzfXx_g,beer_and_wine,"Beer, Wine & Spirits",3.5,59,$$,32.7743044661533,-117.157130981543
Meritage Wine Market & Tasting Room,"162 S Rancho Santa Fe Rd Ste A10 Encinitas, CA 92024",fJEd02y3--LMx1nG9ABQTw,beer_and_wine,"Beer, Wine & Spirits",4.0,21,$$,33.0359093272192,-117.238640793918
Lakehouse Hotel and Resort,"1025 La Bonita Dr San Marcos, CA 92078",qI6wHRM1PDnOpL3cyRZN6A,hotels,Hotels,4.0,592,$$,33.1246564,-117.2074842
"RL Liquid Assets, Inc","5909 Sea Lion Pl Ste G Carlsbad, CA 92010",-STecUUsS69EMSE7PxwPwA,wineries,Wineries,3.0,2,,33.134743,-117.248093
Brindis,"Plaza Rocasa Blvd. Agua Caliente 10594 Tijuana, Baja California Mexico",ERz29G98zWx1G2NJ67lxdw,breweries,Breweries,3.0,3,,32.5120926,-117.0014725
Leyva's Liquor,"Av. Revolución 1026 Col. Centro 22000 Tijuana, Baja California Mexico",Xf0H038WA-DfjT1BmuU-sw,beer_and_wine,"Beer, Wine & Spirits",4.5,8,,32.5304795725031,-117.036234989767
Par Liquor and Deli Clairemont,"5199 Clairemont Mesa Blvd San Diego, CA 92117",7P9kg1TRVKHQVvgJY9SyTA,beer_and_wine,"Beer, Wine & Spirits",3.5,27,$$,32.834305241704,-117.179513275623
Point Loma Liquor,"1507 Rosecrans St San Diego, CA 92106",YtmVdu2a_lzcBI0iyzWtew,beer_and_wine,"Beer, Wine & Spirits",4.0,5,$,32.7261835,-117.2276901
Meze Greek Fusion,"345 6th Ave San Diego, CA 92101",4D16FWeW_fw3LCIdPRRbdQ,mediterranean,Mediterranean,4.5,2494,$$,32.7089389055774,-117.158911088688
La Valencia Hotel,"1132 Prospect St La Jolla, CA 92037",4cbeyNrtc1l5IODjYu3kDA,hotels,Hotels,4.0,683,$$$,32.84861,-117.27375
The Wine Connection,"2650 Via De La Valle Del Mar, CA 92014",u24hl436JeU5FbEalGt-xw,beer_and_wine,"Beer, Wine & Spirits",4.0,40,$$,32.9807259,-117.2502455
San Diego Hotlimos and Party Bus,"140 W Bradley El Cajon, CA 92020",jZuzg_c-z1zlYqgfoc0C8A,limos,Limos,4.0,70,,32.8191632,-116.9641215
Icon Helicopters,"2100 Palomar Airport Rd Carlsbad, CA 92011",y1cBA-owdHdpgQsVuguiQA,aerialtours,Aerial Tours,5.0,5,,33.127687,-117.278182
Ingela Floral Design,"San Diego, CA 92104",ur_h4Fj8Ha5H3jBBfcR8rg,sessionphotography,Session Photography,5.0,30,,32.7419700622559,-117.128723144531
Wright Trammel Transportation,"603 Main St Ste 8 Ramona, CA 92065",ePg5cPo22wuOluB1m_EjwA,airport_shuttles,Airport Shuttles,5.0,15,,33.0455332,-116.8624832
Lomas Santa Fe Country Club,"1505 Lomas Santa Fe Drive Solana Beach, CA 92075",oCOS5AOHqK1dWLCyDTw-5Q,golf,Golf,4.5,32,,32.994939491539,-117.240047518814
Black Onyx Limo,"1360 N Magnolia Ave El Cajon, CA 92020",GTp01nGag6fFLzTJlphE_w,partybusrentals,Party Bus Rentals,4.5,90,,32.81516,-116.96328
Wow Cafe,"333 S Twin Oaks Valley Rd San Marcos, CA 92078",ITeHTHYUU8qOVm914dn5nw,tradamerican,American (Traditional),1.5,8,,33.129076,-117.159646
Fred's Playland,"- - San Diego, CA 92101",LvTN_0404YpwuD1Kxg5YiQ,tours,Tours,5.0,14,,32.7269669,-117.1647094
Continental Catering,"8238 Parkway Dr La Mesa, CA 91942",z8EGMyz63V4ijt2EAeTYlA,catering,Caterers,4.5,161,,32.7767536,-117.0198114
VOM FASS Oils Vinegars Spirits,"1201 1st St Ste 101 Coronado, CA 92118",TUM0NpHWxJpMHgw-ZKYFZQ,gourmet,Specialty Food,5.0,70,$$,32.698874,-117.170154
Starlite Limousines,"Carlsbad, CA 92009",ATU8s2DvRwboJNxYRnjZoQ,airport_shuttles,Airport Shuttles,4.0,25,,33.102663,-117.267475
Brandywine Liquor,"1655 Brandywine Ave Chula Vista, CA 91911",QFaZwz-pIzuH2EpXhV9BGQ,beer_and_wine,"Beer, Wine & Spirits",4.5,39,$$,32.6016654968262,-117.028869628906
La Costa Wine Co,"7750 El Camino Real Ste MB Carlsbad, CA 92009",a__IRql_zCT2m7FQR4b3Sw,beer_and_wine,"Beer, Wine & Spirits",4.5,108,$$,33.0821934,-117.2663541
5 Star Market & Liquor,"7495 University Ave La Mesa, CA 91941",554hlhnhhj89YpErDfGQdg,beer_and_wine,"Beer, Wine & Spirits",4.5,17,,32.75813,-117.03604
Sunset Market,"985 Broadway Chula Vista, CA 91911",iaieGmasGrQoD9wcrQMk_w,beer_and_wine,"Beer, Wine & Spirits",4.5,18,$$,32.614299,-117.082527
Turista Libre,"San Diego, CA 92173",L-RzyEzgb6_NSiGOyzL3gA,tours,Tours,5.0,169,,32.5438,-117.03579
Five Star Tours & Charter Bus Company,"1050 Kettner Blvd San Diego, CA 92101",vA5DTHtZUFx1En8HY_hdRQ,buses,Buses,3.0,346,,32.7167869880176,-117.169328257442
Whispering Trees Market,"88 E Bonita Rd Chula Vista, CA 91910",Wc3LYa6rLwFtZH8Kz5-DUQ,beer_and_wine,"Beer, Wine & Spirits",4.0,109,$,32.6477444982402,-117.06448730249
Cactus Star Vineyard at Scaredy Cat Ranch,"17029 Handlebar Rd Ramona, CA 92065",ZeiVSF1SMdVVSkiGE7qaSg,winetastingroom,Wine Tasting Room,5.0,8,$,33.02015,-116.92814
Fountain Liquor,"581 N Mollison Ave El Cajon, CA 92021",hjNjX80rmywnUwNT8oV0ZQ,beer_and_wine,"Beer, Wine & Spirits",2.5,4,$$,32.8019426,-116.9509003
Alpine Discount Liquor,"2223 Alpine Blvd Alpine, CA 91901",-ARx5ShNxJgjyahKnikTnA,beer_and_wine,"Beer, Wine & Spirits",3.5,3,$,32.8352874,-116.7659099
San Diego Limobuses,"3333 Midway Dr Ste 206 San Diego, CA 92110",SCaFGyzrTGTI6aQHhLxbgA,limos,Limos,3.0,46,,32.75006,-117.21138
Village Wine & Spirits,"1552 Encinitas Blvd Encinitas, CA 92024",XkGnb-YxP5MK_ok1X011RA,beer_and_wine,"Beer, Wine & Spirits",4.0,24,$$,33.0458964,-117.2555835
The Destination Wedding Group,"Escondido, CA 92033",lJwxe_fjdt-e8xPrDq63fA,wedding_planning,Wedding Planning,5.0,18,,33.12347,-117.08652
BevMo!,"168 S Solana Hills Dr Solana Beach, CA 92075",m2LBkxbaDBg2VDFAW4Q9Gg,beer_and_wine,"Beer, Wine & Spirits",3.0,31,$$,32.9946263099766,-117.257885867471

